
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=as-733  mode=live_update  decoder=dot
  node_features=learned  loss=margin  seed=4
==================================================================
  snapshot filter (>= 10 edges): 733 -> 733
  T=733  N=7716  start_compute_mrr=0
  edge features: learned (raw dim 1)
Snapshot 0614 | MRR 0.8241
Snapshot 0615 | MRR 0.8976
Snapshot 0616 | MRR 0.9022
Snapshot 0617 | MRR 0.9083
Snapshot 0618 | MRR 0.9073
Snapshot 0619 | MRR 0.8991
Snapshot 0620 | MRR 0.9079
Snapshot 0621 | MRR 0.8821
Snapshot 0622 | MRR 0.6512
Snapshot 0623 | MRR 0.7771
Snapshot 0624 | MRR 0.8905
Snapshot 0625 | MRR 0.9014
Snapshot 0626 | MRR 0.9047
Snapshot 0627 | MRR 0.8953
Snapshot 0628 | MRR 0.8975
Snapshot 0629 | MRR 0.8953
Snapshot 0630 | MRR 0.9052
Snapshot 0631 | MRR 0.9158
Snapshot 0632 | MRR 0.9060
Snapshot 0633 | MRR 0.9055
Snapshot 0634 | MRR 0.9037
Snapshot 0635 | MRR 0.8996
Snapshot 0636 | MRR 0.9037
Snapshot 0637 | MRR 0.9080
Snapshot 0638 | MRR 0.7421
Snapshot 0639 | MRR 0.1087
Snapshot 0640 | MRR 0.4044
Snapshot 0641 | MRR 0.6379
Snapshot 0642 | MRR 0.7552
Snapshot 0643 | MRR 0.8206
Snapshot 0644 | MRR 0.8425
Snapshot 0645 | MRR 0.8619
Snapshot 0646 | MRR 0.8620
Snapshot 0647 | MRR 0.8776
Snapshot 0648 | MRR 0.8799
Snapshot 0649 | MRR 0.8795
Snapshot 0650 | MRR 0.8773
Snapshot 0651 | MRR 0.8948
Snapshot 0652 | MRR 0.8946
Snapshot 0653 | MRR 0.9008
Snapshot 0654 | MRR 0.8898
Snapshot 0655 | MRR 0.9028
Snapshot 0656 | MRR 0.8901
Snapshot 0657 | MRR 0.8917
Snapshot 0658 | MRR 0.8952
Snapshot 0659 | MRR 0.9052
Snapshot 0660 | MRR 0.9037
Snapshot 0661 | MRR 0.9046
Snapshot 0662 | MRR 0.9012
Snapshot 0663 | MRR 0.9053
Snapshot 0664 | MRR 0.8999
Snapshot 0665 | MRR 0.9090
Snapshot 0666 | MRR 0.8918
Snapshot 0667 | MRR 0.9036
Snapshot 0668 | MRR 0.9010
Snapshot 0669 | MRR 0.8987
Snapshot 0670 | MRR 0.8977
